cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure,predicted_ev_density,demand_score,svm_label,svm_probability,svm_prediction,pop_density_norm,composite,priority
90,54.702496725,25.30376055,8,0.005,0,3,0,0,2,3,0,Žirmūnai,2.0,175.6716310601564,35134.32621203128,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,8,1600.0,489.28148249028544,0.7461602624238627,236.74157695615705,238.3707884780785,30415.29944103177,0.8634543459004359,0,0.190845231454523,0,0.9500402746739957,0.49726085196399183,1
105,54.69119991428572,25.29829895714286,7,0.005,1,0,0,0,2,1,3,Senamiestis,16.0,130.69268049616787,26138.536099233577,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,7,1400.0,646.1346901602938,0.7268555197898308,164.63084054174436,32.94657584190493,26283.56833993901,0.7461593910292136,0,0.1995312588091546,0,0.2764013831616457,0.506478845725637,2
127,54.69462623333334,25.225920433333332,6,0.005,1,0,0,0,3,1,0,Karoliniškės,10.0,141.14675373338147,28229.350746676293,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,5,1200.0,715.8187731129119,0.8197958688104301,415.691804867065,27.419286705049068,24216.14508128373,0.687467692104385,0,0.2001841797561049,0,0.8047076302586543,0.48320259408642413,3
183,54.72635726666667,25.22603365,6,0.005,0,0,0,0,2,3,0,Pašilaičiai,7.0,125.0778079029912,25015.56158059824,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,5,1200.0,492.7919709027466,0.4172762903103116,212.91408948848056,10.38968917490712,23229.438799386706,0.6594562688112154,0,0.3610734262467011,1,0.6157500913131639,0.47231974885784334,4
115,54.69700153333333,25.23958805,6,0.005,0,0,0,0,0,4,2,Žvėrynas,6.0,130.49277118417763,26098.554236835524,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,6,1200.0,504.2416848540152,0.8713488905968867,169.22428053883368,100.13865871494026,23026.975934086524,0.6537085877382137,0,0.2454034462889533,0,0.5673532380696553,0.5189820176189506,5
191,54.70569664,25.24206174,5,0.005,0,0,0,0,0,5,0,Šeškinė,5.0,127.8578588212446,25571.57176424892,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,1000.0,744.9555117972601,0.7103741574659594,57.183183853056626,72.99864358128808,21766.658572484048,0.617929669789395,0,0.2707069665223408,0,0.8645466998997255,0.4936136270325951,6
24,54.64078078571429,25.13547218571429,7,0.005,0,1,0,0,0,6,0,Paneriai,20.0,102.42344902130188,20484.689804260375,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,7,1400.0,2290.6474186408077,0.0581114355229927,0.0,200.0,21413.550974425052,0.607905363084619,0,0.190922677500385,0,0.0,0.18893758722474152,7
77,54.724232140000005,25.24968044,5,0.005,0,2,0,0,2,0,1,Fabijoniškės,4.0,115.8842926884991,23176.85853769982,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,5,1000.0,323.2409476593728,0.3644743299996092,176.13452728761982,146.0355936560372,20629.425750323226,0.5856449762094698,-1,0.3819032367132068,1,0.7606397885979109,0.42306133403315194,8
198,54.71324812,25.21225898,5,0.0052205692355496,2,0,0,0,0,3,0,Justiniškės,8.0,122.62688162784804,23489.17830508159,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,5,957.7499644966628,374.77186790545073,0.2334564301239183,29.645044560845975,44.04626486865272,20021.109343665892,0.5683755935414098,-1,0.2936269954535869,0,0.9999999999998739,0.339009925850844,9
44,54.67770264000001,25.384596,5,0.005,0,0,1,0,2,1,0,Naujoji Vilnia,14.0,77.72387093352778,15544.774186705556,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604116,0.0,4,1000.0,2312.1545325343072,0.0,400.0,0.0,15147.317972105067,0.4300144260327632,0,0.2284544302111745,0,0.10483940052916198,0.0,10
63,54.714959799999995,25.13818078,5,0.005,0,1,0,0,3,1,0,Pilaitė,12.0,81.90590935183268,16381.181870366536,21798.0,0.3030134418836208,0.593024277388936,0.1039622807274431,13.93352424654988,1564.4283251164877,0.0201049035317864,5,1000.0,2007.639682274678,0.0201049035317864,600.0,200.0,14766.26078568006,0.4191966636006303,0,0.2354325775633378,0,0.18302316437302113,0.12565953727126183,11
26,54.65255866,25.18718615,10,0.0118542310783576,0,1,0,0,0,8,1,Vilkpėdė,18.0,74.43213051648205,6278.950530361569,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,10,843.5806535151074,1274.0431637680229,0.1493562033409003,0.0,25.30741960545322,10462.016287458548,0.2970042576040076,0,0.2355038874741855,0,0.21231553053097593,0.21860562879471457,12
161,54.70477845714286,25.235476014285716,7,0.0089741101085098,3,0,1,0,1,2,0,Viršuliškės,9.0,77.24399083326371,8607.426240515617,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,7,780.0216305973527,332.3868512272426,0.6522429464089595,40.51303712601138,74.41383868167803,8107.557183821158,0.2301639508293857,-1,0.3671382535751371,1,0.18603046933381168,0.375616511070902,13
199,54.63086403333333,25.2567008,3,0.0052322649469623,0,0,0,0,2,1,0,Naujininkai,19.0,45.42242738523328,8681.216996017034,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,3,573.3654603522539,1777.074708244803,0.0,129.74676939447932,1.9773792925785896,7702.330325191111,0.218660040015091,0,0.1598479020249487,0,0.07162604677584673,0.0,14
42,54.68522017777778,25.053708244444447,9,0.0127849004151087,0,3,0,0,0,6,0,Grigiškės,21.0,59.83130377218588,4679.841205605291,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,9,703.9554245854077,5238.493458764057,0.0,0.0,234.6518081951359,6482.914732786012,0.1840422748748107,0,0.3033143368806866,0,0.17439961057145634,0.0,15
114,54.66733123157895,25.215271110526317,19,0.0321656042747345,1,4,0,0,9,5,0,Lazdynai,11.0,60.43717179786755,1878.9378642371676,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,19,590.6930843803285,390.29821765026753,0.1743439950603415,799.0842245366897,37.30693164507338,4820.274380433571,0.1368418834832523,-1,0.4097779740322699,1,0.2888581947267514,0.2138248696146781,16
197,54.711960228571435,25.27754494285714,7,0.0166406176315917,2,0,0,0,0,5,0,Šnipiškės,3.0,71.61504005139899,4303.628725621341,14652.0,0.2250902961714423,0.6276908259089815,0.1472188779195762,3.1264068279410937,4686.53019468011,0.690080065183502,7,420.6574632609018,352.35818458364,0.690080065183502,42.66770541915292,14.222568473050972,4661.274175810764,0.1323280558963566,-1,0.2083222508144851,0,0.5766399551247777,0.2669494462954783,17
160,54.669575555555554,25.277593033333332,9,0.021701547361501,0,2,0,1,2,3,1,Naujamiestis,17.0,69.58345417887635,3206.382154219973,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,9,414.716971563336,431.89035667125313,0.2241289400175241,169.52177103268025,70.75857580417382,4302.32981345136,0.1221380503625766,-1,0.222694466787315,0,0.5226002915368654,0.27288460212238685,18
20,54.60663612105264,25.386721868421052,19,0.3034859779806676,1,1,0,1,5,9,1,Rasos,15.0,27.338671974883987,90.0821585128572,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,18,62.60585786012928,6806.475260233049,1.0,16.475225752665597,3.2950451505331197,0.0,0.0,0,0.1909134274748047,0,0.08203219447687464,0.0,19
5,54.728917569230774,25.37470272307693,13,0.1935596898047133,3,1,0,0,1,6,2,Antakalnis,13.0,7.95163714771922,41.081059572588714,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,13,67.16274454208927,2124.9393480924273,0.0,5.166364964776098,5.166364964776098,0.0,0.0,0,0.2193418477313126,0,0.04972824681110399,0.0,20
